,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,latest Date Used,pop,density
1,Alabama,01,516918,10638,11687,0.2430050483443142,0.1967142979378797,2021-04-05,4934190,97.427
2,Alaska,02,63486,299,1824,0.3892543859649123,0.9550438596491229,2021-04-05,724357,1.2694
3,Arizona,04,844921,16990,9500,0.39621052631578946,0.4652631578947368,2021-04-05,7520100,66.2016
4,Arkansas,05,331098,5648,3756,0.3463791267305644,0.29020234291799785,2021-04-05,3033950,58.3059
5,California,06,3682916,59761,41665,0.44339373574943,0.4532341293651746,2021-04-05,39613500,254.2929
6,Colorado,08,471702,6190,13436,0.6641857695742781,0.7243971420065496,2021-04-05,5893630,56.8653
7,Connecticut,09,316655,7923,12271,0.7148561649417325,0.6695460842637112,2021-04-05,3552820,733.7505
8,Delaware,10,96577,1566,3866,0.5103466114847387,0.5625969994826694,2021-04-05,990334,508.1242
9,District of Columbia,11,45112,1072,1804,0.479490022172949,0.4789356984478936,2021-04-05,714153,11707.4262
10,Florida,12,2085298,33709,62904,0.5749713849675696,0.6029346305481369,2021-04-05,21944600,409.2233
11,Georgia,13,1041275,18625,21839,0.4920554970465681,0.4226383991941023,2021-04-05,10830000,188.3053
12,Hawaii,15,30427,464,1050,0.68,0.7628571428571429,2021-04-05,1406430,218.9678
13,Idaho,16,181961,1975,4406,0.4466636404902406,0.4684521107580572,2021-04-05,1860120,22.5079
14,Illinois,17,1262345,23665,23587,0.7027599949124518,0.8129054139992369,2021-04-05,12569300,226.3964
15,Indiana,18,694918,13075,10724,0.5891458411040656,0.6435098843715031,2021-04-05,6805660,189.9643
16,Iowa,19,353829,5822,6090,0.6569786535303777,0.5927750410509032,2021-04-05,3167970,56.7157
17,Kansas,20,305489,4927,3099,0.4972571797353985,0.43433365601807034,2021-04-05,2917220,35.6807
18,Kentucky,21,432851,6267,10166,0.40517410977769036,0.3950422978555971,2021-04-05,4480710,113.4759
19,Louisiana,22,446737,10165,6777,0.4189169248930205,0.417884019477645,2021-04-05,4627000,107.0966
20,Maine,23,51986,746,2716,0.5110456553755522,0.7201767304860088,2021-04-05,1354520,43.9166
21,Maryland,24,418374,8363,12673,0.6604592440621795,0.719166732423262,2021-04-05,6065440,624.8522
22,Massachusetts,25,646220,17325,23530,0.6441563960900978,0.6455163620909478,2021-04-05,6912240,886.1846
23,Michigan,26,779658,17274,38506,0.9302706071781021,1.2215498883290916,2021-04-05,9992430,176.7352
24,Minnesota,27,527728,6963,15893,0.6444346567671302,0.69477128295476,2021-04-05,5706400,71.6641
25,Mississippi,28,306158,7055,5281,0.3338382882029919,0.27703086536640786,2021-04-05,2966410,63.2187
26,Missouri,29,588005,8990,8298,0.5912268016389491,0.49072065557965777,2021-04-05,6169040,89.7419
27,Montana,30,105273,1466,2134,0.49953139643861294,0.4592314901593252,2021-04-05,1085000,7.4547
28,Nebraska,31,212237,2289,3578,0.5704304080491895,0.8585802124091672,2021-04-05,1952000,25.4087
29,Nevada,32,305374,5275,4903,0.39404446257393433,0.421986538853763,2021-04-05,3185790,29.0195
30,New Hampshire,33,86125,1249,3690,0.7018970189701897,0.7547425474254743,2021-04-05,1372200,153.2671
31,New Jersey,34,930026,24649,54121,0.5771142440087951,0.5497865893091406,2021-04-05,8874520,1206.7609
32,New Mexico,35,192595,3955,2853,0.46862951279355064,0.4784437434279706,2021-04-05,2105000,17.354
33,New York,36,1910858,50195,87586,0.8018176420889184,0.6016486653118078,2021-04-05,19300000,409.5404
34,North Carolina,37,928253,12200,24032,0.5379077896138482,0.49995838881491345,2021-04-05,10701000,220.1037
35,North Dakota,38,103745,1497,1283,0.7318784099766174,0.8371005455962588,2021-04-05,770026,11.1596
36,Ohio,39,1026929,18643,21469,0.5554054683497135,0.6432530625553123,2021-04-05,11714600,286.6939
37,Oklahoma,40,440022,4953,6288,0.3821564885496183,0.3449427480916031,2021-04-05,3990440,58.1739
38,Oregon,41,167219,2409,4189,0.5862974456910958,0.7073287180711387,2021-04-05,4289440,44.6873
39,Pennsylvania,42,1050649,25254,38285,0.7042444821731749,0.7852945017630926,2021-04-05,12804100,286.1699
40,Rhode Island,44,139173,2629,5058,0.4705417160933175,0.5444839857651246,2021-04-05,3194370,923.4952
41,South Carolina,45,556469,9203,15487,0.5078452895977271,0.41331439271647186,2021-04-05,1061510,1026.6054
42,South Dakota,46,118517,1938,2376,0.5740740740740741,0.4970538720538721,2021-04-05,5277830,175.5707
43,Tennessee,47,803028,11828,17061,0.4586483793447043,0.46538889865775745,2021-04-05,896581,11.8265
44,Texas,48,2807528,48881,58490,0.4808343306548128,0.3599076765259019,2021-04-05,6944260,168.4069
45,Utah,49,387574,2133,6681,0.4443945517138153,0.41296213141745247,2021-04-05,29730300,113.808
46,Vermont,50,20267,229,1640,0.7091463414634146,0.7713414634146342,2021-04-05,3310770,40.2917
47,Virginia,51,626171,10360,19377,0.5439438509573206,0.4986323992362079,2021-04-05,623251,67.6197
48,Washington,53,372631,5338,10242,0.6153095098613552,0.7422378441710603,2021-04-05,8603980,217.8774
49,West Virginia,54,143733,2696,4475,0.6455865921787709,0.6127374301675977,2021-04-05,7796940,117.3248
50,Wisconsin,55,639765,7342,8152,0.5726202158979392,0.6259813542688911,2021-04-05,1767860,73.5444
51,Wyoming,56,56529,700,827,0.5562273276904474,0.40991535671100365,2021-04-05,5852490,108.0633
52,Puerto Rico,72,143637,2136,2806,0.7811831789023521,1.100142551674982,2021-04-05,581075,5.9847
1,Alabama,01,516918,10638,11687,0.2430050483443142,0.1967142979378797,2021-04-05,4934190,97.427
2,Alaska,02,63486,299,1824,0.3892543859649123,0.9550438596491229,2021-04-05,724357,1.2694
3,Arizona,04,844921,16990,9500,0.39621052631578946,0.4652631578947368,2021-04-05,7520100,66.2016
4,Arkansas,05,331098,5648,3756,0.3463791267305644,0.29020234291799785,2021-04-05,3033950,58.3059
5,California,06,3682916,59761,41665,0.44339373574943,0.4532341293651746,2021-04-05,39613500,254.2929
6,Colorado,08,471702,6190,13436,0.6641857695742781,0.7243971420065496,2021-04-05,5893630,56.8653
7,Connecticut,09,316655,7923,12271,0.7148561649417325,0.6695460842637112,2021-04-05,3552820,733.7505
8,Delaware,10,96577,1566,3866,0.5103466114847387,0.5625969994826694,2021-04-05,990334,508.1242
9,District of Columbia,11,45112,1072,1804,0.479490022172949,0.4789356984478936,2021-04-05,714153,11707.4262
10,Florida,12,2085298,33709,62904,0.5749713849675696,0.6029346305481369,2021-04-05,21944600,409.2233
11,Georgia,13,1041275,18625,21839,0.4920554970465681,0.4226383991941023,2021-04-05,10830000,188.3053
12,Hawaii,15,30427,464,1050,0.68,0.7628571428571429,2021-04-05,1406430,218.9678
13,Idaho,16,181961,1975,4406,0.4466636404902406,0.4684521107580572,2021-04-05,1860120,22.5079
14,Illinois,17,1262345,23665,23587,0.7027599949124518,0.8129054139992369,2021-04-05,12569300,226.3964
15,Indiana,18,694918,13075,10724,0.5891458411040656,0.6435098843715031,2021-04-05,6805660,189.9643
16,Iowa,19,353829,5822,6090,0.6569786535303777,0.5927750410509032,2021-04-05,3167970,56.7157
17,Kansas,20,305489,4927,3099,0.4972571797353985,0.43433365601807034,2021-04-05,2917220,35.6807
18,Kentucky,21,432851,6267,10166,0.40517410977769036,0.3950422978555971,2021-04-05,4480710,113.4759
19,Louisiana,22,446737,10165,6777,0.4189169248930205,0.417884019477645,2021-04-05,4627000,107.0966
20,Maine,23,51986,746,2716,0.5110456553755522,0.7201767304860088,2021-04-05,1354520,43.9166
21,Maryland,24,418374,8363,12673,0.6604592440621795,0.719166732423262,2021-04-05,6065440,624.8522
22,Massachusetts,25,646220,17325,23530,0.6441563960900978,0.6455163620909478,2021-04-05,6912240,886.1846
23,Michigan,26,779658,17274,38506,0.9302706071781021,1.2215498883290916,2021-04-05,9992430,176.7352
24,Minnesota,27,527728,6963,15893,0.6444346567671302,0.69477128295476,2021-04-05,5706400,71.6641
25,Mississippi,28,306158,7055,5281,0.3338382882029919,0.27703086536640786,2021-04-05,2966410,63.2187
26,Missouri,29,588005,8990,8298,0.5912268016389491,0.49072065557965777,2021-04-05,6169040,89.7419
27,Montana,30,105273,1466,2134,0.49953139643861294,0.4592314901593252,2021-04-05,1085000,7.4547
28,Nebraska,31,212237,2289,3578,0.5704304080491895,0.8585802124091672,2021-04-05,1952000,25.4087
29,Nevada,32,305374,5275,4903,0.39404446257393433,0.421986538853763,2021-04-05,3185790,29.0195
30,New Hampshire,33,86125,1249,3690,0.7018970189701897,0.7547425474254743,2021-04-05,1372200,153.2671
31,New Jersey,34,930026,24649,54121,0.5771142440087951,0.5497865893091406,2021-04-05,8874520,1206.7609
32,New Mexico,35,192595,3955,2853,0.46862951279355064,0.4784437434279706,2021-04-05,2105000,17.354
33,New York,36,1910858,50195,87586,0.8018176420889184,0.6016486653118078,2021-04-05,19300000,409.5404
34,North Carolina,37,928253,12200,24032,0.5379077896138482,0.49995838881491345,2021-04-05,10701000,220.1037
35,North Dakota,38,103745,1497,1283,0.7318784099766174,0.8371005455962588,2021-04-05,770026,11.1596
36,Ohio,39,1026929,18643,21469,0.5554054683497135,0.6432530625553123,2021-04-05,11714600,286.6939
37,Oklahoma,40,440022,4953,6288,0.3821564885496183,0.3449427480916031,2021-04-05,3990440,58.1739
38,Oregon,41,167219,2409,4189,0.5862974456910958,0.7073287180711387,2021-04-05,4289440,44.6873
39,Pennsylvania,42,1050649,25254,38285,0.7042444821731749,0.7852945017630926,2021-04-05,12804100,286.1699
40,Rhode Island,44,139173,2629,5058,0.4705417160933175,0.5444839857651246,2021-04-05,3194370,923.4952
41,South Carolina,45,556469,9203,15487,0.5078452895977271,0.41331439271647186,2021-04-05,1061510,1026.6054
42,South Dakota,46,118517,1938,2376,0.5740740740740741,0.4970538720538721,2021-04-05,5277830,175.5707
43,Tennessee,47,803028,11828,17061,0.4586483793447043,0.46538889865775745,2021-04-05,896581,11.8265
44,Texas,48,2807528,48881,58490,0.4808343306548128,0.3599076765259019,2021-04-05,6944260,168.4069
45,Utah,49,387574,2133,6681,0.4443945517138153,0.41296213141745247,2021-04-05,29730300,113.808
46,Vermont,50,20267,229,1640,0.7091463414634146,0.7713414634146342,2021-04-05,3310770,40.2917
47,Virginia,51,626171,10360,19377,0.5439438509573206,0.4986323992362079,2021-04-05,623251,67.6197
